,accX,accY,accZ,pitch,roll,yaw
0,0.686277672992,-0.0761963832884,-31.3638765627,-1.00636131148,-0.272637615199,-1.46161134473
1,1.48897168915,1.96935723343,-27.7853076085,0.0423634752099,-1.31410659902,1.29660373246
2,2.33664494174,2.66963016425,-15.8671771978,-0.227657874321,-0.788288744618,-1.55510981633
3,4.42847961692,3.44238518118,-33.0914700325,-0.253374171088,0.0930478703743,2.40752393578
4,5.79989103843,4.023753299,-20.2951452571,9.46101892014,5.52654990826,-4.51455045287
5,10.2452624204,3.04903348235,-25.0426702164,-9.79400996572,-9.37568544233,3.38331792311
6,7.34909064611,7.43140228105,-31.7816404975,2.64995770552,0.182487474576,89.7736684015
7,8.936716839,9.26410043176,-15.5804137524,-0.256078806901,-0.215375832136,-88.3011422709
8,8.98654780776,-3.31525500131,-16.1456104646,91.307922716,-5.08287849978,-4.0682462231
9,10.2441949313,-17.2322018648,0.252772552996,-90.2472417554,3.1890633493,3.11550179789
10,20.4116520534,12.8809963072,-6.55053315723,0.146050227892,96.1185329263,-4.17172216886
11,40.9527671546,14.1088151055,4.4370481799,-2.10034941448,-91.9282000025,2.61128087855
